2022-12-19 19:32:08.680 [http-nio-8181-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2022-12-19 19:32:08.911 [http-nio-8181-exec-1] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:32:09.038 [http-nio-8181-exec-1] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:33:02.520 [http-nio-8181-exec-2] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:33:02.545 [http-nio-8181-exec-2] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:33:09.797 [http-nio-8181-exec-4] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:33:09.832 [http-nio-8181-exec-4] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:34:13.746 [http-nio-8181-exec-6] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:34:13.773 [http-nio-8181-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 63924
2022-12-19 19:34:13.826 [http-nio-8181-exec-6] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:35:06.753 [http-nio-8181-exec-8] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:35:06.762 [http-nio-8181-exec-8] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:36:03.345 [http-nio-8181-exec-10] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:36:03.356 [http-nio-8181-exec-10] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:36:11.735 [http-nio-8181-exec-2] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:36:11.744 [http-nio-8181-exec-2] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:36:14.789 [http-nio-8181-exec-3] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:36:14.796 [http-nio-8181-exec-3] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:37:17.263 [http-nio-8181-exec-5] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
